tb15id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1191,194,A1D0PHYBW2QXXF,2,202,1,202105,5,52,1,2,,39
1192,195,ABUXM7VAW5SKJ,2,202,1,202102,2,81,74,69,,7
1193,195,ABUXM7VAW5SKJ,2,202,1,202103,3,74,70,72,,22
1194,194,A1D0PHYBW2QXXF,2,201,1,201101,1,100,63,65,,21
1195,195,ABUXM7VAW5SKJ,2,203,1,203101,1,80,72,63,,10
1196,191,A1RQUDG08EIML7,2,202,1,202101,1,61,87,87,,0
1197,194,A1D0PHYBW2QXXF,2,201,1,201102,2,76,55,54,,14
1198,191,A1RQUDG08EIML7,2,203,1,203101,1,55,70,76,,0
1199,197,A3W3TEOEEF4Z3X,2,201,1,201101,1,96,27,48,,11
1200,197,A3W3TEOEEF4Z3X,2,201,1,201102,2,96,20,32,,7
1201,197,A3W3TEOEEF4Z3X,2,203,1,203101,1,98,20,20,,14
1202,197,A3W3TEOEEF4Z3X,2,203,1,203102,2,98,44,39,,27
1203,197,A3W3TEOEEF4Z3X,2,203,1,203103,3,89,55,52,,2
1204,197,A3W3TEOEEF4Z3X,2,202,1,202101,1,80,73,77,,21
1205,197,A3W3TEOEEF4Z3X,2,202,1,202102,2,94,41,37,,15
1206,192,A14CX1IUDSVFLL,2,201,1,201101,1,84,73,90,,37
1207,192,A14CX1IUDSVFLL,2,201,1,201102,2,66,81,92,,49
1208,196,A30QRYULPVYZQV,2,201,1,201101,1,80,100,0,,0
1209,192,A14CX1IUDSVFLL,2,201,1,201103,3,84,89,82,,24
1210,192,A14CX1IUDSVFLL,2,201,1,201104,4,71,100,95,,17
1211,198,A3NPMK0HB0Y772,2,202,1,202101,1,100,100,100,,0
1212,198,A3NPMK0HB0Y772,2,202,1,202102,2,88,77,76,,0
1213,198,A3NPMK0HB0Y772,2,202,1,202103,3,85,70,92,,0
1214,198,A3NPMK0HB0Y772,2,202,1,202104,4,83,100,94,,0
1215,198,A3NPMK0HB0Y772,2,202,1,202105,5,80,85,100,,0
1216,198,A3NPMK0HB0Y772,2,201,1,201101,1,99,100,97,,0
1217,192,A14CX1IUDSVFLL,2,201,1,201105,5,75,98,95,,19
1218,198,A3NPMK0HB0Y772,2,201,1,201102,2,100,98,100,,0
1219,198,A3NPMK0HB0Y772,2,201,1,201103,3,100,100,100,,0
1220,198,A3NPMK0HB0Y772,2,201,1,201104,4,89,100,98,,0
1221,198,A3NPMK0HB0Y772,2,201,1,201105,5,100,94,89,,0
1222,198,A3NPMK0HB0Y772,2,203,1,203101,1,88,100,100,,0
1223,198,A3NPMK0HB0Y772,2,203,1,203102,2,76,96,100,,0
