tb5id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1714,352,A187TVQ98O0FN2,1,103,2,103202,2,77,38,43,,124
1715,352,A187TVQ98O0FN2,1,103,2,103203,3,30,68,44,,73
1716,352,A187TVQ98O0FN2,1,103,2,103204,4,19,76,57,,66
1717,353,A3LDNYF163XZI6,1,101,2,101201,1,62,94,93,,117
1718,353,A3LDNYF163XZI6,1,101,2,101202,2,63,69,70,,101
1719,353,A3LDNYF163XZI6,1,102,1,102101,1,67,89,86,,129
1720,353,A3LDNYF163XZI6,1,102,1,102102,2,60,88,87,,163
1721,355,AKNYT1NTK2UFK,1,101,1,101101,1,90,79,80,,74
1722,353,A3LDNYF163XZI6,1,103,3,103301,1,70,95,94,,159
1723,355,AKNYT1NTK2UFK,1,101,1,101102,2,10,92,91,,134
1724,353,A3LDNYF163XZI6,1,103,3,103302,2,64,67,67,,48
1725,355,AKNYT1NTK2UFK,1,101,1,101103,3,84,58,72,,83
1726,357,A25BDZJ7E8I0PG,1,102,3,102301,1,100,83,85,,0
1727,355,AKNYT1NTK2UFK,1,102,2,102201,1,93,41,66,,60
1728,357,A25BDZJ7E8I0PG,1,102,3,102302,2,100,0,33,,0
1729,354,a2hq6qyka4nicd,1,101,3,101301,1,60,87,86,,98
1730,355,AKNYT1NTK2UFK,1,102,2,102202,2,91,54,68,,61
1731,357,A25BDZJ7E8I0PG,1,102,3,102303,3,100,0,3,,0
1732,354,a2hq6qyka4nicd,1,101,3,101302,2,62,71,89,,16
1733,354,a2hq6qyka4nicd,1,101,3,101303,3,72,89,85,,22
1734,354,a2hq6qyka4nicd,1,101,3,101304,4,73,86,86,,12
1735,354,a2hq6qyka4nicd,1,101,3,101305,5,75,78,86,,21
1736,354,a2hq6qyka4nicd,1,101,3,101306,6,70,80,87,,7
1737,355,AKNYT1NTK2UFK,1,103,3,103301,1,67,88,86,,80
1738,354,a2hq6qyka4nicd,1,102,2,102201,1,79,73,77,,8
1739,357,A25BDZJ7E8I0PG,1,101,1,101101,1,100,100,100,,0
1740,354,a2hq6qyka4nicd,1,102,2,102202,2,84,74,94,,21
1741,354,a2hq6qyka4nicd,1,102,2,102203,3,72,87,82,,12
1742,354,a2hq6qyka4nicd,1,102,2,102204,4,84,75,91,,7
1743,357,A25BDZJ7E8I0PG,1,101,1,101102,2,100,100,100,,0
1744,354,a2hq6qyka4nicd,1,102,2,102205,5,73,80,73,,15
1745,354,a2hq6qyka4nicd,1,102,2,102206,6,78,72,78,,8
1746,355,AKNYT1NTK2UFK,1,103,3,103302,2,73,40,42,,79
1747,354,a2hq6qyka4nicd,1,103,1,103101,1,87,93,83,,18
1748,356,AIJEWX92UW722,1,101,2,101201,1,81,45,46,,38
1749,354,a2hq6qyka4nicd,1,103,1,103102,2,86,83,87,,10
1750,354,a2hq6qyka4nicd,1,103,1,103103,3,81,80,83,,12
1751,354,a2hq6qyka4nicd,1,103,1,103104,4,89,83,89,,5
1752,356,AIJEWX92UW722,1,101,2,101202,2,78,18,21,,30
1753,354,a2hq6qyka4nicd,1,103,1,103105,5,76,81,88,,4
1754,354,a2hq6qyka4nicd,1,103,1,103106,6,83,80,91,,2
1755,356,AIJEWX92UW722,1,101,2,101203,3,55,17,15,,34
